Nh1,Nh2,Nh3,Nh4,activation_function,dropout_prob_1,dropout_prob_2,dropout_prob_3,dropout_prob_4,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time
256,32,8,128,Tanh(),0,0.5,0.0,0,0.001,0.0001,40,100,0.6759085655212402,0.5456835627555847,0.20973603487014772
256,32,16,32,Tanh(),0,0.35,0.15,0,0.005,0.0005,20,400,0.5710784196853638,0.48149409890174866,0.8963631447156271
16,128,128,128,Tanh(),0,0.5,0.15,0,0.0001,5e-05,50,400,0.2828197181224823,0.3191941976547241,1.7660074599583944
32,128,128,64,ReLU(),0,0.35,0.5,0,0.005,0.001,40,200,0.43930092453956604,0.4125049114227295,0.3029311807950338
128,64,256,32,ReLU(),0,0.0,0.35,0,0.0001,0.001,30,100,0.3072122037410736,0.3196805417537689,0.4506084132194519
32,32,256,256,Tanh(),0,0.5,0.0,0,0.0005,1e-05,50,200,0.4090955853462219,0.33779340982437134,0.4192940425872803
8,128,256,16,Tanh(),0,0.35,0.35,0,0.005,5e-05,40,300,1.2164846658706665,1.3960272073745728,0.35675448417663574
256,256,128,8,Tanh(),0,0.5,0.15,0,0.0005,0.0001,20,300,0.30320730805397034,0.4107803404331207,0.8834559981028238
32,8,32,256,ReLU(),0,0.15,0.35,0,0.0005,1e-05,40,300,0.7174450159072876,2.7378621101379395,0.3549633487065633
256,64,16,64,ReLU(),0,0.15,0.15,0,0.0005,0.0005,20,200,0.40917572379112244,0.5538662672042847,0.3538752627372742
32,256,128,16,Tanh(),0,0.0,0.15,0,0.001,0.001,20,200,1.1317638158798218,1.196056842803955,0.3662253999710083
64,8,64,256,ReLU(),0,0.0,0.15,0,0.0005,1e-05,50,200,0.275167852640152,0.3423282504081726,0.2971117933591207
8,8,32,8,Tanh(),0,0.35,0.15,0,0.005,0.0,30,200,1.2313957214355469,1.1201841831207275,0.3008409555753072
64,128,128,128,Tanh(),0,0.15,0.35,0,0.005,0.001,30,200,0.32087382674217224,0.4271385073661804,0.21363532225290935
256,128,8,16,Tanh(),0,0.35,0.5,0,0.005,0.0005,20,300,2.060131788253784,2.1861507892608643,0.42859200159708655
256,128,8,256,Tanh(),0,0.0,0.0,0,0.0001,0.0001,40,200,2.1591429710388184,2.2204744815826416,0.279420595963796
8,32,64,128,ReLU(),0,0.0,0.0,0,0.0001,0.001,20,100,0.22522470355033875,0.3262195885181427,0.9031314142545064
16,128,64,256,ReLU(),0,0.5,0.15,0,0.001,0.0,40,300,0.37940239906311035,0.4229951798915863,0.3088778956731161
8,16,64,8,Tanh(),0,0.35,0.5,0,0.0005,1e-05,20,300,2.1952903270721436,2.2249677181243896,0.39286928256352743
